order_id,customer_id,employee_id,order_date,shipping_date,order_status,payment_method,total_amount
ORD_00001,CUST_00073,EMP_013,2026-05-30,2026-06-01,Completed,Bank Transfer,19855000.0
ORD_00002,CUST_00073,EMP_003,2025-06-14,2025-06-19,Completed,Bank Transfer,4990000.0
ORD_00003,CUST_00021,EMP_012,2025-08-18,2025-08-19,Completed,Credit Card,24607500.0
ORD_00004,CUST_00181,EMP_016,2026-04-05,2026-04-06,Completed,COD,2090000.0
ORD_00005,CUST_00136,EMP_014,2025-04-24,,Pending,Bank Transfer,9500000.0
ORD_00006,CUST_00160,EMP_015,2025-03-06,2025-03-10,Completed,COD,11190000.0
ORD_00007,CUST_00147,EMP_014,2025-07-11,2025-07-12,Completed,Credit Card,171000.0
ORD_00008,CUST_00130,EMP_018,2025-01-21,2025-01-25,Completed,COD,9170000.0
ORD_00009,CUST_00169,EMP_004,2025-12-07,2025-12-10,Completed,Credit Card,2526000.0
ORD_00010,CUST_00118,EMP_002,2025-10-28,2025-10-30,Completed,COD,416500.0
ORD_00011,CUST_00140,EMP_016,2025-09-17,2025-09-19,Completed,Credit Card,1190000.0
ORD_00012,CUST_00070,EMP_004,2026-01-12,2026-01-16,Completed,E-Wallet,26095000.0
ORD_00013,CUST_00021,EMP_014,2025-07-04,2025-07-07,Completed,COD,3990000.0
ORD_00014,CUST_00184,EMP_014,2025-06-20,2025-06-23,Completed,E-Wallet,1990000.0
ORD_00015,CUST_00164,EMP_002,2025-03-18,2025-03-22,Completed,Credit Card,16680000.0
ORD_00016,CUST_00113,EMP_002,2025-05-10,2025-05-13,Completed,Credit Card,5200000.0
ORD_00017,CUST_00116,EMP_012,2026-01-16,2026-01-17,Completed,Bank Transfer,4365500.0
ORD_00018,CUST_00128,EMP_017,2026-02-01,2026-02-02,Shipping,Credit Card,3642000.0
ORD_00019,CUST_00052,EMP_004,2025-05-19,2025-05-23,Shipping,Bank Transfer,4211000.0
ORD_00020,CUST_00077,EMP_006,2025-06-28,,Pending,Bank Transfer,980000.0
ORD_00021,CUST_00127,EMP_001,2026-01-05,2026-01-08,Completed,E-Wallet,6237500.0
ORD_00022,CUST_00105,EMP_019,2025-03-17,2025-03-20,Completed,COD,890000.0
ORD_00023,CUST_00200,EMP_018,2025-07-06,,Pending,Bank Transfer,19000000.0
ORD_00024,CUST_00078,EMP_006,2025-06-15,2025-06-17,Completed,Credit Card,3000000.0
ORD_00025,CUST_00129,EMP_006,2025-06-07,2025-06-12,Completed,Credit Card,72480000.0
ORD_00026,CUST_00159,EMP_001,2026-05-25,2026-05-30,Shipping,Credit Card,16455500.0
ORD_00027,CUST_00177,EMP_002,2025-06-11,2025-06-15,Completed,E-Wallet,1125000.0
ORD_00028,CUST_00082,EMP_012,2026-02-13,2026-02-16,Completed,COD,75000.0
ORD_00029,CUST_00037,EMP_004,2025-02-21,2025-02-25,Completed,E-Wallet,522000.0
