kpi_id,employee_id,evaluation_period,target_score,actual_score,completion_rate,rating,reviewer_id
KPI0001,EMP001,2025-Q1,100.0,90.1,90.1,Đạt,EMP001
KPI0002,EMP002,2025-Q1,100.0,104.8,104.8,Đạt,EMP001
KPI0003,EMP003,2025-Q1,100.0,86.4,86.4,Cần cải thiện,EMP001
KPI0004,EMP004,2025-Q1,100.0,105.9,105.9,Xuất sắc,EMP003
KPI0005,EMP005,2025-Q1,100.0,97.2,97.2,Đạt,EMP001
KPI0006,EMP007,2025-Q1,100.0,75.6,75.6,Cần cải thiện,EMP001
KPI0007,EMP008,2025-Q1,100.0,112.6,112.6,Xuất sắc,EMP001
KPI0008,EMP009,2025-Q1,100.0,73.6,73.6,Cần cải thiện,EMP002
KPI0009,EMP010,2025-Q1,100.0,102.2,102.2,Đạt,EMP001
KPI0010,EMP011,2025-Q1,100.0,73.9,73.9,Cần cải thiện,EMP002
KPI0011,EMP012,2025-Q1,100.0,89.1,89.1,Cần cải thiện,EMP008
KPI0012,EMP013,2025-Q1,100.0,107.6,107.6,Xuất sắc,EMP002
KPI0013,EMP014,2025-Q1,100.0,78.5,78.5,Cần cải thiện,EMP003
KPI0014,EMP015,2025-Q1,100.0,72.4,72.4,Cần cải thiện,EMP008
KPI0015,EMP016,2025-Q1,100.0,93.7,93.7,Đạt,EMP010
KPI0016,EMP017,2025-Q1,100.0,77.8,77.8,Cần cải thiện,EMP002
KPI0017,EMP018,2025-Q1,100.0,87.0,87.0,Cần cải thiện,EMP010
KPI0018,EMP020,2025-Q1,100.0,96.6,96.6,Đạt,EMP002
KPI0019,EMP021,2025-Q1,100.0,81.0,81.0,Cần cải thiện,EMP008
KPI0020,EMP022,2025-Q1,100.0,83.3,83.3,Cần cải thiện,EMP002
KPI0021,EMP023,2025-Q1,100.0,92.2,92.2,Đạt,EMP002
KPI0022,EMP024,2025-Q1,100.0,86.5,86.5,Cần cải thiện,EMP002
KPI0023,EMP025,2025-Q1,100.0,91.6,91.6,Đạt,EMP001
KPI0024,EMP026,2025-Q1,100.0,95.9,95.9,Đạt,EMP003
KPI0025,EMP027,2025-Q1,100.0,108.7,108.7,Xuất sắc,EMP002
KPI0026,EMP028,2025-Q1,100.0,81.5,81.5,Cần cải thiện,EMP001
KPI0027,EMP029,2025-Q1,100.0,84.4,84.4,Cần cải thiện,EMP002
KPI0028,EMP030,2025-Q1,100.0,93.5,93.5,Đạt,EMP002
KPI0029,EMP031,2025-Q1,100.0,80.9,80.9,Cần cải thiện,EMP002
KPI0030,EMP032,2025-Q1,100.0,93.2,93.2,Đạt,EMP003
KPI0031,EMP033,2025-Q1,100.0,75.8,75.8,Cần cải thiện,EMP002
KPI0032,EMP034,2025-Q1,100.0,80.0,80.0,Cần cải thiện,EMP010
KPI0033,EMP035,2025-Q1,100.0,84.2,84.2,Cần cải thiện,EMP002
KPI0034,EMP036,2025-Q1,100.0,89.3,89.3,Cần cải thiện,EMP001
KPI0035,EMP037,2025-Q1,100.0,96.5,96.5,Đạt,EMP010
KPI0036,EMP038,2025-Q1,100.0,107.2,107.2,Xuất sắc,EMP001
KPI0037,EMP039,2025-Q1,100.0,88.5,88.5,Cần cải thiện,EMP003
KPI0038,EMP041,2025-Q1,100.0,113.7,113.7,Xuất sắc,EMP008
KPI0039,EMP042,2025-Q1,100.0,102.6,102.6,Đạt,EMP002
KPI0040,EMP043,2025-Q1,100.0,111.7,111.7,Xuất sắc,EMP003
KPI0041,EMP046,2025-Q1,100.0,114.4,114.4,Xuất sắc,EMP008
KPI0042,EMP047,2025-Q1,100.0,88.7,88.7,Cần cải thiện,EMP002
KPI0043,EMP048,2025-Q1,100.0,84.2,84.2,Cần cải thiện,EMP001
KPI0044,EMP049,2025-Q1,100.0,107.8,107.8,Xuất sắc,EMP001
KPI0045,EMP051,2025-Q1,100.0,106.9,106.9,Xuất sắc,EMP003
KPI0046,EMP052,2025-Q1,100.0,73.0,73.0,Cần cải thiện,EMP002
KPI0047,EMP053,2025-Q1,100.0,80.9,80.9,Cần cải thiện,EMP002
KPI0048,EMP054,2025-Q1,100.0,112.5,112.5,Xuất sắc,EMP003
KPI0049,EMP055,2025-Q1,100.0,112.8,112.8,Xuất sắc,EMP008
KPI0050,EMP056,2025-Q1,100.0,101.8,101.8,Đạt,EMP001
KPI0051,EMP057,2025-Q1,100.0,107.1,107.1,Xuất sắc,EMP008
KPI0052,EMP058,2025-Q1,100.0,89.5,89.5,Cần cải thiện,EMP003
KPI0053,EMP059,2025-Q1,100.0,87.7,87.7,Cần cải thiện,EMP002
KPI0054,EMP060,2025-Q1,100.0,105.5,105.5,Xuất sắc,EMP010
KPI0055,EMP061,2025-Q1,100.0,78.1,78.1,Cần cải thiện,EMP001
KPI0056,EMP062,2025-Q1,100.0,88.9,88.9,Cần cải thiện,EMP002
KPI0057,EMP063,2025-Q1,100.0,86.3,86.3,Cần cải thiện,EMP010
KPI0058,EMP065,2025-Q1,100.0,108.9,108.9,Xuất sắc,EMP003
KPI0059,EMP066,2025-Q1,100.0,97.5,97.5,Đạt,EMP010
KPI0060,EMP067,2025-Q1,100.0,79.2,79.2,Cần cải thiện,EMP010
KPI0061,EMP068,2025-Q1,100.0,103.0,103.0,Đạt,EMP008
KPI0062,EMP069,2025-Q1,100.0,100.8,100.8,Đạt,EMP003
KPI0063,EMP071,2025-Q1,100.0,84.5,84.5,Cần cải thiện,EMP010
KPI0064,EMP072,2025-Q1,100.0,73.7,73.7,Cần cải thiện,EMP001
KPI0065,EMP073,2025-Q1,100.0,73.5,73.5,Cần cải thiện,EMP003
KPI0066,EMP074,2025-Q1,100.0,109.9,109.9,Xuất sắc,EMP001
KPI0067,EMP075,2025-Q1,100.0,101.0,101.0,Đạt,EMP008
KPI0068,EMP077,2025-Q1,100.0,78.1,78.1,Cần cải thiện,EMP008
KPI0069,EMP078,2025-Q1,100.0,95.5,95.5,Đạt,EMP001
KPI0070,EMP079,2025-Q1,100.0,100.6,100.6,Đạt,EMP008
KPI0071,EMP080,2025-Q1,100.0,75.7,75.7,Cần cải thiện,EMP002
KPI0072,EMP081,2025-Q1,100.0,100.7,100.7,Đạt,EMP001
KPI0073,EMP082,2025-Q1,100.0,88.2,88.2,Cần cải thiện,EMP002
KPI0074,EMP083,2025-Q1,100.0,72.8,72.8,Cần cải thiện,EMP003
KPI0075,EMP084,2025-Q1,100.0,75.7,75.7,Cần cải thiện,EMP008
KPI0076,EMP085,2025-Q1,100.0,73.0,73.0,Cần cải thiện,EMP001
KPI0077,EMP086,2025-Q1,100.0,104.9,104.9,Đạt,EMP001
KPI0078,EMP087,2025-Q1,100.0,84.0,84.0,Cần cải thiện,EMP002
KPI0079,EMP089,2025-Q1,100.0,107.4,107.4,Xuất sắc,EMP003
KPI0080,EMP090,2025-Q1,100.0,93.3,93.3,Đạt,EMP008
KPI0081,EMP091,2025-Q1,100.0,76.9,76.9,Cần cải thiện,EMP002
KPI0082,EMP093,2025-Q1,100.0,113.0,113.0,Xuất sắc,EMP002
KPI0083,EMP095,2025-Q1,100.0,80.7,80.7,Cần cải thiện,EMP001
KPI0084,EMP096,2025-Q1,100.0,74.5,74.5,Cần cải thiện,EMP010
KPI0085,EMP097,2025-Q1,100.0,99.7,99.7,Đạt,EMP001
KPI0086,EMP098,2025-Q1,100.0,103.2,103.2,Đạt,EMP002
KPI0087,EMP099,2025-Q1,100.0,114.5,114.5,Xuất sắc,EMP002
KPI0088,EMP100,2025-Q1,100.0,85.8,85.8,Cần cải thiện,EMP008
KPI0089,EMP102,2025-Q1,100.0,90.1,90.1,Đạt,EMP001
KPI0090,EMP103,2025-Q1,100.0,100.2,100.2,Đạt,EMP001
KPI0091,EMP104,2025-Q1,100.0,81.3,81.3,Cần cải thiện,EMP008
KPI0092,EMP105,2025-Q1,100.0,97.7,97.7,Đạt,EMP001
KPI0093,EMP106,2025-Q1,100.0,104.8,104.8,Đạt,EMP001
KPI0094,EMP107,2025-Q1,100.0,110.6,110.6,Xuất sắc,EMP001
KPI0095,EMP108,2025-Q1,100.0,106.9,106.9,Xuất sắc,EMP010
KPI0096,EMP109,2025-Q1,100.0,75.8,75.8,Cần cải thiện,EMP002
KPI0097,EMP110,2025-Q1,100.0,74.5,74.5,Cần cải thiện,EMP001
KPI0098,EMP111,2025-Q1,100.0,103.1,103.1,Đạt,EMP008
KPI0099,EMP112,2025-Q1,100.0,97.3,97.3,Đạt,EMP002
KPI0100,EMP114,2025-Q1,100.0,94.6,94.6,Đạt,EMP002
KPI0101,EMP115,2025-Q1,100.0,97.6,97.6,Đạt,EMP001
KPI0102,EMP116,2025-Q1,100.0,82.1,82.1,Cần cải thiện,EMP010
KPI0103,EMP118,2025-Q1,100.0,95.8,95.8,Đạt,EMP008
KPI0104,EMP119,2025-Q1,100.0,94.4,94.4,Đạt,EMP001
KPI0105,EMP120,2025-Q1,100.0,103.3,103.3,Đạt,EMP010
KPI0106,EMP121,2025-Q1,100.0,106.8,106.8,Xuất sắc,EMP001
KPI0107,EMP122,2025-Q1,100.0,85.3,85.3,Cần cải thiện,EMP008
