record_id,employee_id,course_name,training_type,start_date,end_date,score,completion_status,training_cost
TRG0001,EMP195,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-02-08,2025-02-12,85.0,Completed,6500000.0
TRG0002,EMP185,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-06-14,2025-07-03,74.8,Completed,5000000.0
TRG0003,EMP018,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-05-14,2025-06-06,66.5,Completed,2500000.0
TRG0004,EMP228,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-04-15,2025-04-23,93.8,Completed,5000000.0
TRG0005,EMP081,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-05-08,2025-05-19,68.3,Completed,4500000.0
TRG0006,EMP080,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-04-01,2025-04-07,86.7,Completed,2500000.0
TRG0007,EMP044,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-05-06,2025-05-10,89.4,Completed,1800000.0
TRG0008,EMP176,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-08-17,2025-08-23,86.0,Completed,4500000.0
TRG0009,EMP057,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-02-08,2025-02-28,87.0,Completed,6500000.0
TRG0010,EMP023,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-05-13,2025-05-16,81.8,Completed,4000000.0
TRG0011,EMP181,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-09-14,2025-10-04,66.4,Completed,2000000.0
TRG0012,EMP091,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-03-09,2025-03-15,96.9,Completed,2500000.0
TRG0013,EMP234,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-09-04,2025-09-20,83.5,Completed,3500000.0
TRG0014,EMP224,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-07-04,2025-07-12,65.2,Completed,3500000.0
TRG0015,EMP096,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-19,2025-03-24,91.4,Completed,4500000.0
TRG0016,EMP078,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-06-12,2025-06-28,69.7,Completed,1800000.0
