item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM-000001,ORD-00001,PROD-024,2,56.54,0.0
ITEM-000002,ORD-00001,PROD-043,2,177.38,17.74
ITEM-000003,ORD-00002,PROD-021,2,283.54,28.35
ITEM-000004,ORD-00002,PROD-019,3,403.17,0.0
ITEM-000005,ORD-00002,PROD-013,2,422.27,42.23
ITEM-000006,ORD-00002,PROD-025,3,288.11,28.81
ITEM-000007,ORD-00003,PROD-028,3,317.59,31.76
ITEM-000008,ORD-00003,PROD-042,2,313.98,15.7
ITEM-000009,ORD-00004,PROD-043,1,177.38,8.87
ITEM-000010,ORD-00004,PROD-033,3,429.48,42.95
ITEM-000011,ORD-00005,PROD-013,1,422.27,0.0
ITEM-000012,ORD-00005,PROD-003,1,366.3,18.32
ITEM-000013,ORD-00006,PROD-032,2,281.69,0.0
ITEM-000014,ORD-00006,PROD-010,3,318.94,31.89
ITEM-000015,ORD-00006,PROD-001,1,256.5,12.83
ITEM-000016,ORD-00006,PROD-015,1,409.71,40.97
ITEM-000017,ORD-00007,PROD-030,1,85.5,4.28
ITEM-000018,ORD-00008,PROD-036,2,126.11,0.0
ITEM-000019,ORD-00008,PROD-048,2,42.37,2.12
ITEM-000020,ORD-00008,PROD-017,1,295.69,29.57
ITEM-000021,ORD-00008,PROD-018,3,188.76,9.44
ITEM-000022,ORD-00009,PROD-018,2,188.76,9.44
ITEM-000023,ORD-00009,PROD-035,1,145.51,0.0
ITEM-000024,ORD-00010,PROD-027,2,154.59,7.73
ITEM-000025,ORD-00011,PROD-050,3,504.6,50.46
ITEM-000026,ORD-00011,PROD-002,3,126.71,6.34
ITEM-000027,ORD-00011,PROD-031,1,481.08,24.05
ITEM-000028,ORD-00011,PROD-020,2,412.9,20.64
ITEM-000029,ORD-00012,PROD-025,2,288.11,28.81
ITEM-000030,ORD-00013,PROD-026,3,164.85,16.48
ITEM-000031,ORD-00014,PROD-012,1,149.72,7.49
ITEM-000032,ORD-00014,PROD-025,2,288.11,0.0
ITEM-000033,ORD-00014,PROD-030,2,85.5,4.28
ITEM-000034,ORD-00014,PROD-049,2,467.61,23.38
ITEM-000035,ORD-00015,PROD-023,1,46.94,4.69
ITEM-000036,ORD-00016,PROD-040,1,123.57,0.0
ITEM-000037,ORD-00017,PROD-045,2,48.12,2.41
ITEM-000038,ORD-00017,PROD-011,3,401.86,40.19
ITEM-000039,ORD-00017,PROD-048,3,42.37,0.0
ITEM-000040,ORD-00017,PROD-050,1,504.6,25.23
ITEM-000041,ORD-00018,PROD-026,3,164.85,0.0
ITEM-000042,ORD-00018,PROD-005,3,174.04,17.4
ITEM-000043,ORD-00018,PROD-041,1,247.34,0.0
ITEM-000044,ORD-00018,PROD-045,2,48.12,4.81
ITEM-000045,ORD-00019,PROD-043,2,177.38,0.0
ITEM-000046,ORD-00019,PROD-033,3,429.48,21.47
ITEM-000047,ORD-00019,PROD-001,2,256.5,12.83
ITEM-000048,ORD-00019,PROD-007,2,24.77,1.24
