order_id,customer_id,order_date,order_status,total_amount,payment_method,shipping_fee
ORD-00001,CUST-0001,2025-10-12 20:00:00,completed,437.36,Credit Card,5.0
ORD-00002,CUST-0093,2025-08-16 16:00:00,completed,3257.87,COD,0.0
ORD-00003,CUST-0052,2025-10-19 08:00:00,completed,1459.05,Bank Transfer,5.0
ORD-00004,CUST-0087,2025-07-25 16:00:00,completed,1338.1,COD,10.0
ORD-00005,CUST-0012,2025-12-10 11:00:00,completed,780.25,Credit Card,10.0
ORD-00006,CUST-0059,2025-09-15 18:00:00,completed,2046.94,Bank Transfer,10.0
ORD-00007,CUST-0007,2025-10-21 11:00:00,cancelled,91.22,COD,10.0
ORD-00008,CUST-0097,2025-09-22 17:00:00,completed,1146.8,E-Wallet,10.0
ORD-00009,CUST-0036,2025-09-21 09:00:00,completed,504.15,E-Wallet,0.0
ORD-00010,CUST-0050,2025-11-25 10:00:00,completed,303.72,Bank Transfer,10.0
ORD-00011,CUST-0054,2025-06-16 11:00:00,completed,2975.08,E-Wallet,10.0
ORD-00012,CUST-0063,2025-07-27 12:00:00,completed,528.6,Bank Transfer,10.0
ORD-00013,CUST-0093,2025-07-13 15:00:00,cancelled,455.11,Credit Card,10.0
ORD-00014,CUST-0011,2025-11-12 14:00:00,completed,1774.35,COD,5.0
ORD-00015,CUST-0011,2025-09-29 08:00:00,completed,42.25,Credit Card,0.0
ORD-00016,CUST-0097,2025-06-08 11:00:00,completed,123.57,Bank Transfer,0.0
ORD-00017,CUST-0086,2025-06-30 17:00:00,cancelled,1782.91,Credit Card,0.0
ORD-00018,CUST-0040,2025-10-26 18:00:00,cancelled,1308.43,Credit Card,10.0
ORD-00019,CUST-0073,2025-12-18 08:00:00,completed,2123.19,Bank Transfer,10.0
ORD-00020,CUST-0091,2025-07-10 14:00:00,completed,1075.47,Credit Card,0.0
ORD-00021,CUST-0036,2025-09-24 11:00:00,completed,676.19,COD,10.0
ORD-00022,CUST-0072,2025-06-03 16:00:00,cancelled,1163.06,E-Wallet,5.0
ORD-00023,CUST-0089,2025-09-30 18:00:00,,2168.67,COD,10.0
ORD-00024,CUST-0055,2025-12-08 16:00:00,completed,1686.31,E-Wallet,0.0
ORD-00025,CUST-0028,2025-12-07 15:00:00,completed,1224.56,E-Wallet,10.0
ORD-00026,CUST-0036,2025-06-12 08:00:00,completed,1230.69,Bank Transfer,5.0
ORD-00027,CUST-0057,2025-08-27 10:00:00,returned,1850.16,E-Wallet,0.0
ORD-00028,CUST-0020,2025-10-23 12:00:00,completed,2025.99,Bank Transfer,0.0
ORD-00029,CUST-0058,2025-09-22 12:00:00,cancelled,2201.45,E-Wallet,0.0
ORD-00030,CUST-0031,2025-07-15 16:00:00,completed,288.26,Bank Transfer,10.0
ORD-00031,CUST-0038,2025-06-09 11:00:00,completed,1206.13,Bank Transfer,0.0
ORD-00032,CUST-0015,2025-10-18 11:00:00,completed,1168.03,Credit Card,5.0
ORD-00033,CUST-0060,2025-11-24 12:00:00,completed,1977.7,COD,5.0
ORD-00034,CUST-0004,2025-06-24 11:00:00,returned,1342.69,Credit Card,10.0
ORD-00035,CUST-0098,2025-12-11 10:00:00,completed,1595.29,Credit Card,10.0
ORD-00036,CUST-0021,2025-08-24 14:00:00,completed,1590.6,Bank Transfer,0.0
ORD-00037,CUST-0066,2025-06-01 18:00:00,cancelled,1281.57,E-Wallet,5.0
ORD-00038,CUST-0037,2025-09-21 19:00:00,completed,752.02,E-Wallet,10.0
ORD-00039,CUST-0040,2025-10-20 08:00:00,completed,389.22,E-Wallet,0.0
ORD-00040,CUST-0064,2025-12-01 12:00:00,completed,1673.02,E-Wallet,10.0
ORD-00041,CUST-0009,2025-08-10 20:00:00,completed,2249.58,Bank Transfer,5.0
ORD-00042,CUST-0045,2025-08-25 16:00:00,completed,1152.35,Bank Transfer,5.0
ORD-00043,CUST-0050,2025-11-17 20:00:00,completed,1505.72,Bank Transfer,0.0
ORD-00044,CUST-0013,2025-10-13 15:00:00,completed,799.45,Bank Transfer,5.0
ORD-00045,CUST-0084,2025-06-21 13:00:00,cancelled,3808.3,E-Wallet,5.0
ORD-00046,CUST-0096,2025-06-24 14:00:00,returned,94.33,Credit Card,5.0
ORD-00047,CUST-0006,2025-08-23 20:00:00,completed,2426.02,E-Wallet,0.0
