product_id,product_name,category,cost_price,list_price
PROD-001,Electronics Item 1,Electronics,195.43,256.5
PROD-002,Home & Kitchen Item 2,Home & Kitchen,89.76,126.71
PROD-003,Fashion Item 3,Fashion,223.58,366.3
PROD-004,Books Item 4,Books,268.73,361.03
PROD-005,Sports Item 5,Sports,132.36,174.04
PROD-006,Electronics Item 6,Electronics,73.41,113.98
PROD-007,Home & Kitchen Item 7,Home & Kitchen,17.7,24.77
PROD-008,Fashion Item 8,Fashion,198.47,312.09
PROD-009,Books Item 9,Books,73.93,117.89
PROD-010,Sports Item 10,Sports,244.73,318.94
PROD-011,Electronics Item 11,Electronics,243.69,401.86
PROD-012,Home & Kitchen Item 12,Home & Kitchen,108.67,149.72
PROD-013,Fashion Item 13,Fashion,287.59,422.27
PROD-014,Books Item 14,Books,36.9,49.75
PROD-015,Sports Item 15,Sports,255.77,409.71
PROD-016,Electronics Item 16,Electronics,244.07,406.34
PROD-017,Home & Kitchen Item 17,Home & Kitchen,165.51,295.69
PROD-018,Fashion Item 18,Fashion,119.77,188.76
PROD-019,Books Item 19,Books,250.53,403.17
PROD-020,Sports Item 20,Sports,259.9,412.9
PROD-021,Electronics Item 21,Electronics,214.33,283.54
PROD-022,Home & Kitchen Item 22,Home & Kitchen,76.09,109.93
PROD-023,Fashion Item 23,Fashion,33.14,46.94
PROD-024,Books Item 24,Books,39.29,56.54
PROD-025,Sports Item 25,Sports,194.35,288.11
PROD-026,Electronics Item 26,Electronics,117.35,164.85
PROD-027,Home & Kitchen Item 27,Home & Kitchen,87.42,154.59
PROD-028,Fashion Item 28,Fashion,197.93,317.59
PROD-029,Books Item 29,Books,59.63,99.26
PROD-030,Sports Item 30,Sports,57.39,85.5
PROD-031,Electronics Item 31,Electronics,296.96,481.08
PROD-032,Home & Kitchen Item 32,Home & Kitchen,171.52,281.69
PROD-033,Fashion Item 33,Fashion,254.43,429.48
PROD-034,Books Item 34,Books,76.42,100.57
PROD-035,Sports Item 35,Sports,101.48,145.51
PROD-036,Electronics Item 36,Electronics,71.19,126.11
PROD-037,Home & Kitchen Item 37,Home & Kitchen,264.15,384.96
PROD-038,Fashion Item 38,Fashion,200.08,299.68
PROD-039,Books Item 39,Books,275.22,420.93
PROD-040,Sports Item 40,Sports,86.82,123.57
PROD-041,Electronics Item 41,Electronics,172.8,247.34
PROD-042,Home & Kitchen Item 42,Home & Kitchen,179.53,313.98
PROD-043,Fashion Item 43,Fashion,125.83,177.38
PROD-044,Books Item 44,Books,299.29,465.33
PROD-045,Sports Item 45,Sports,36.36,48.12
PROD-046,Electronics Item 46,Electronics,41.8,67.45
PROD-047,Home & Kitchen Item 47,Home & Kitchen,239.7,362.21
PROD-048,Fashion Item 48,Fashion,28.42,42.37
PROD-049,Books Item 49,Books,298.88,467.61
PROD-050,Sports Item 50,Sports,291.61,504.6
