audit_id,audit_date,warehouse_id,product_id,book_quantity,physical_quantity,discrepancy_qty,reason_code
AUD-0001,2024-03-31,WH-DN01,PROD-009,58,59,1,SCAN_CORRECTION
AUD-0002,2024-03-31,WH-DN01,PROD-034,0,0,0,NORMAL_VARIANCE
AUD-0003,2024-03-31,WH-HN01,PROD-020,96,96,0,NORMAL_VARIANCE
AUD-0004,2024-03-31,WH-HN01,PROD-007,44,42,-2,PILFERAGE
AUD-0005,2024-03-31,WH-HCM01,PROD-008,41,41,0,NORMAL_VARIANCE
AUD-0006,2024-03-31,WH-HCM01,PROD-032,30,28,-2,PILFERAGE
AUD-0007,2024-03-31,WH-HCM01,PROD-015,8,8,0,NORMAL_VARIANCE
AUD-0008,2024-03-31,WH-DN01,PROD-004,40,38,-2,PILFERAGE
AUD-0009,2024-03-31,WH-HN01,PROD-039,0,0,-2,PILFERAGE
AUD-0010,2024-03-31,WH-HCM01,PROD-035,48,48,0,NORMAL_VARIANCE
AUD-0011,2024-03-31,WH-HCM01,PROD-022,2,1,-1,PILFERAGE
AUD-0012,2024-03-31,WH-DN01,PROD-002,74,75,1,SCAN_CORRECTION
AUD-0013,2024-03-31,WH-HN01,PROD-044,71,71,0,NORMAL_VARIANCE
AUD-0014,2024-03-31,WH-DN01,PROD-019,0,0,-1,PILFERAGE
AUD-0015,2024-03-31,WH-DN01,PROD-017,11,11,0,NORMAL_VARIANCE
AUD-0016,2024-06-30,WH-HN01,PROD-022,0,0,-1,PILFERAGE
AUD-0017,2024-06-30,WH-HCM01,PROD-049,30,31,1,SCAN_CORRECTION
AUD-0018,2024-06-30,WH-HCM01,PROD-004,50,50,0,NORMAL_VARIANCE
AUD-0019,2024-06-30,WH-HCM01,PROD-009,13,12,-1,PILFERAGE
AUD-0020,2024-06-30,WH-HN01,PROD-014,44,44,0,NORMAL_VARIANCE
AUD-0021,2024-06-30,WH-HCM01,PROD-036,0,0,0,NORMAL_VARIANCE
AUD-0022,2024-06-30,WH-HN01,PROD-050,0,0,0,NORMAL_VARIANCE
AUD-0023,2024-06-30,WH-DN01,PROD-043,59,57,-2,PILFERAGE
AUD-0024,2024-06-30,WH-HN01,PROD-048,0,1,1,SCAN_CORRECTION
AUD-0025,2024-06-30,WH-DN01,PROD-016,0,0,-1,PILFERAGE
AUD-0026,2024-06-30,WH-DN01,PROD-032,147,147,0,NORMAL_VARIANCE
AUD-0027,2024-06-30,WH-HN01,PROD-005,37,37,0,NORMAL_VARIANCE
AUD-0028,2024-06-30,WH-HN01,PROD-037,0,0,0,NORMAL_VARIANCE
AUD-0029,2024-06-30,WH-HN01,PROD-003,80,78,-2,PILFERAGE
AUD-0030,2024-06-30,WH-HCM01,PROD-023,124,123,-1,PILFERAGE
AUD-0031,2024-09-30,WH-DN01,PROD-044,0,0,0,NORMAL_VARIANCE
AUD-0032,2024-09-30,WH-HCM01,PROD-050,26,26,0,NORMAL_VARIANCE
AUD-0033,2024-09-30,WH-DN01,PROD-048,105,105,0,NORMAL_VARIANCE
AUD-0034,2024-09-30,WH-DN01,PROD-002,75,74,-1,PILFERAGE
AUD-0035,2024-09-30,WH-HN01,PROD-036,0,0,0,NORMAL_VARIANCE
AUD-0036,2024-09-30,WH-HN01,PROD-031,40,40,0,NORMAL_VARIANCE
AUD-0037,2024-09-30,WH-HCM01,PROD-004,50,50,0,NORMAL_VARIANCE
AUD-0038,2024-09-30,WH-HN01,PROD-025,52,51,-1,PILFERAGE
AUD-0039,2024-09-30,WH-HCM01,PROD-043,36,34,-2,PILFERAGE
AUD-0040,2024-09-30,WH-HCM01,PROD-009,12,12,0,NORMAL_VARIANCE
AUD-0041,2024-09-30,WH-HN01,PROD-028,111,112,1,SCAN_CORRECTION
AUD-0042,2024-09-30,WH-HN01,PROD-040,124,124,0,NORMAL_VARIANCE
AUD-0043,2024-09-30,WH-HN01,PROD-046,0,0,0,NORMAL_VARIANCE
AUD-0044,2024-09-30,WH-HN01,PROD-041,39,38,-1,PILFERAGE
AUD-0045,2024-09-30,WH-HN01,PROD-008,90,90,0,NORMAL_VARIANCE
AUD-0046,2024-12-30,WH-HCM01,PROD-003,64,64,0,NORMAL_VARIANCE
AUD-0047,2024-12-30,WH-DN01,PROD-021,40,41,1,SCAN_CORRECTION
AUD-0048,2024-12-30,WH-HCM01,PROD-023,123,123,0,NORMAL_VARIANCE
AUD-0049,2024-12-30,WH-HN01,PROD-039,-2,0,-1,PILFERAGE
AUD-0050,2024-12-30,WH-HCM01,PROD-042,101,101,0,NORMAL_VARIANCE
AUD-0051,2024-12-30,WH-DN01,PROD-016,-1,0,-2,PILFERAGE
AUD-0052,2024-12-30,WH-DN01,PROD-019,-1,0,1,SCAN_CORRECTION
AUD-0053,2024-12-30,WH-HN01,PROD-009,254,252,-2,PILFERAGE
AUD-0054,2024-12-30,WH-DN01,PROD-047,0,0,0,NORMAL_VARIANCE
AUD-0055,2024-12-30,WH-HCM01,PROD-026,80,78,-2,PILFERAGE
AUD-0056,2024-12-30,WH-HCM01,PROD-031,132,132,0,NORMAL_VARIANCE
AUD-0057,2024-12-30,WH-HN01,PROD-008,90,90,0,NORMAL_VARIANCE
AUD-0058,2024-12-30,WH-DN01,PROD-005,7,8,1,SCAN_CORRECTION
AUD-0059,2024-12-30,WH-HCM01,PROD-038,38,37,-1,PILFERAGE
AUD-0060,2024-12-30,WH-DN01,PROD-017,11,11,0,NORMAL_VARIANCE
