movement_id,timestamp,warehouse_id,product_id,movement_type,direction,quantity,unit_cost,reference_doc,notes
MOV-00001,2024-01-01 08:00:00,WH-HN01,PROD-001,INBOUND_PO,IN,39,108.8,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00002,2024-01-01 08:00:00,WH-HN01,PROD-002,INBOUND_PO,IN,27,122.58,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00003,2024-01-01 08:00:00,WH-HN01,PROD-003,INBOUND_PO,IN,32,22.23,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00004,2024-01-01 08:00:00,WH-HN01,PROD-004,INBOUND_PO,IN,33,110.28,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00005,2024-01-01 08:00:00,WH-HN01,PROD-005,INBOUND_PO,IN,45,132.94,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00006,2024-01-01 08:00:00,WH-HN01,PROD-006,INBOUND_PO,IN,43,57.46,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00007,2024-01-01 08:00:00,WH-HN01,PROD-007,INBOUND_PO,IN,31,31.73,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00008,2024-01-01 08:00:00,WH-HN01,PROD-008,INBOUND_PO,IN,38,83.24,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00009,2024-01-01 08:00:00,WH-HN01,PROD-009,INBOUND_PO,IN,28,135.78,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00010,2024-01-01 08:00:00,WH-HN01,PROD-010,INBOUND_PO,IN,42,27.88,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00011,2024-02-15 18:00:00,WH-HN01,PROD-011,INBOUND_PO,IN,32,141.04,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00012,2024-01-01 08:00:00,WH-HN01,PROD-012,INBOUND_PO,IN,45,41.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00013,2024-01-01 08:00:00,WH-HN01,PROD-013,INBOUND_PO,IN,29,110.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00014,2024-01-01 08:00:00,WH-HN01,PROD-014,INBOUND_PO,IN,33,41.2,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00015,2024-01-01 08:00:00,WH-HN01,PROD-015,INBOUND_PO,IN,29,127.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00016,2024-01-01 08:00:00,WH-HN01,PROD-016,INBOUND_PO,IN,27,56.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00017,2024-01-01 08:00:00,WH-HN01,PROD-017,INBOUND_PO,IN,26,74.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00018,2024-01-01 08:00:00,WH-HN01,PROD-018,INBOUND_PO,IN,30,53.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00019,2024-01-01 08:00:00,WH-HN01,PROD-019,INBOUND_PO,IN,34,145.49,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00020,2024-01-01 08:00:00,WH-HN01,PROD-020,INBOUND_PO,IN,44,30.91,INIT-BALANCE-2024,So du dau ky nam 2024
