dispatch_id,order_id,warehouse_id,dispatch_date,delivery_status,shipping_carrier,lead_time_hours
DSP-00001,SO-59441,WH-HCM01,2024-01-02,DELIVERED,FastLogistics VN,18
DSP-00002,SO-67711,WH-HCM01,2024-01-03,DELIVERED,FastLogistics VN,24
DSP-00003,SO-28894,WH-DN01,2024-01-03,DELIVERED,FastLogistics VN,12
DSP-00004,SO-59808,WH-DN01,2024-01-04,RETURNED,NinjaVan Hub,12
DSP-00005,SO-90931,WH-DN01,2024-01-04,RETURNED,CyberExpress,36
DSP-00006,SO-21846,WH-HCM01,2024-01-04,DELIVERED,VNPost Logistics,36
DSP-00007,SO-79621,WH-DN01,2024-01-05,DELIVERED,VNPost Logistics,24
DSP-00008,SO-20350,WH-HN01,2024-01-05,DELIVERED,NinjaVan Hub,12
DSP-00009,SO-28758,WH-HN01,2024-01-05,DELIVERED,NinjaVan Hub,36
DSP-00010,SO-97404,WH-DN01,2024-01-05,DELIVERED,FastLogistics VN,36
DSP-00011,SO-69878,WH-DN01,2024-01-06,DELIVERED,NinjaVan Hub,18
DSP-00012,SO-41091,WH-DN01,2024-01-06,DELIVERED,VNPost Logistics,48
DSP-00013,SO-48696,WH-HCM01,2024-01-06,DELIVERED,VNPost Logistics,12
DSP-00014,SO-96400,WH-HCM01,2024-01-06,DELIVERED,VNPost Logistics,12
DSP-00015,SO-50492,WH-HCM01,2024-01-07,DELIVERED,FastLogistics VN,24
DSP-00016,SO-21813,WH-DN01,2024-01-07,DELIVERED,NinjaVan Hub,12
DSP-00017,SO-27322,WH-DN01,2024-01-07,DELIVERED,CyberExpress,36
DSP-00018,SO-73156,WH-DN01,2024-01-07,DELIVERED,VNPost Logistics,12
DSP-00019,SO-80329,WH-DN01,2024-01-08,DELIVERED,VNPost Logistics,48
DSP-00020,SO-44362,WH-HCM01,2024-01-08,RETURNED,NinjaVan Hub,18
DSP-00021,SO-39015,WH-HCM01,2024-01-08,DELIVERED,CyberExpress,18
DSP-00022,SO-95097,WH-DN01,2024-01-08,DELIVERED,VNPost Logistics,24
DSP-00023,SO-74569,WH-HN01,2024-01-09,RETURNED,VNPost Logistics,12
DSP-00024,SO-69459,WH-HCM01,2024-01-09,DELIVERED,CyberExpress,24
DSP-00025,SO-64935,WH-HCM01,2024-01-09,DELIVERED,VNPost Logistics,48
DSP-00026,SO-94518,WH-HCM01,2024-01-10,DELIVERED,CyberExpress,24
DSP-00027,SO-69600,WH-DN01,2024-01-10,DELIVERED,VNPost Logistics,12
DSP-00028,SO-12799,WH-HCM01,2024-01-10,DELIVERED,NinjaVan Hub,24
DSP-00029,SO-46342,WH-HN01,2024-01-10,DELIVERED,CyberExpress,36
DSP-00030,SO-52437,WH-DN01,2024-01-11,DELIVERED,VNPost Logistics,36
DSP-00031,SO-65176,WH-HN01,2024-01-11,DELIVERED,FastLogistics VN,36
DSP-00032,SO-96363,WH-HN01,2024-01-11,DELIVERED,CyberExpress,36
DSP-00033,SO-62640,WH-HN01,2024-01-11,DELIVERED,VNPost Logistics,24
DSP-00034,SO-46046,WH-HN01,2024-01-12,DELIVERED,VNPost Logistics,12
DSP-00035,SO-69469,WH-HCM01,2024-01-12,DELIVERED,NinjaVan Hub,24
DSP-00036,SO-95316,WH-HCM01,2024-01-12,DELIVERED,FastLogistics VN,18
DSP-00037,SO-69441,WH-HN01,2024-01-12,DELIVERED,CyberExpress,18
DSP-00038,SO-50963,WH-HN01,2024-01-12,DELIVERED,CyberExpress,18
DSP-00039,SO-18799,WH-HN01,2024-01-13,DELIVERED,NinjaVan Hub,18
DSP-00040,SO-53207,WH-HCM01,2024-01-13,DELIVERED,FastLogistics VN,48
DSP-00041,SO-16743,WH-HCM01,2024-01-13,RETURNED,VNPost Logistics,12
DSP-00042,SO-76507,WH-DN01,2024-01-13,DELIVERED,VNPost Logistics,24
DSP-00043,SO-55890,WH-DN01,2024-01-13,DELIVERED,FastLogistics VN,48
DSP-00044,SO-66244,WH-DN01,2024-01-14,DELIVERED,NinjaVan Hub,24
DSP-00045,SO-13794,WH-HCM01,2024-01-14,DELIVERED,FastLogistics VN,12
DSP-00046,SO-10800,WH-DN01,2024-01-14,DELIVERED,VNPost Logistics,18
DSP-00047,SO-84395,WH-DN01,2024-01-14,DELIVERED,NinjaVan Hub,36
DSP-00048,SO-64287,WH-DN01,2024-01-15,DELIVERED,VNPost Logistics,24
DSP-00049,SO-66349,WH-HCM01,2024-01-15,DELIVERED,VNPost Logistics,48
DSP-00050,SO-79066,WH-HCM01,2024-01-15,DELIVERED,VNPost Logistics,36
DSP-00051,SO-11007,WH-DN01,2024-01-15,RETURNED,VNPost Logistics,36
DSP-00052,SO-43491,WH-HN01,2024-01-15,DELIVERED,VNPost Logistics,48
DSP-00053,SO-66446,WH-HN01,2024-01-16,DELIVERED,FastLogistics VN,12
DSP-00054,SO-75570,WH-HCM01,2024-01-16,DELIVERED,FastLogistics VN,48
DSP-00055,SO-12456,WH-HCM01,2024-01-16,DELIVERED,VNPost Logistics,24
DSP-00056,SO-91018,WH-HN01,2024-01-17,DELIVERED,CyberExpress,18
DSP-00057,SO-61873,WH-DN01,2024-01-17,DELIVERED,CyberExpress,18
DSP-00058,SO-56019,WH-HN01,2024-01-17,RETURNED,FastLogistics VN,12
DSP-00059,SO-32740,WH-HN01,2024-01-17,DELIVERED,NinjaVan Hub,48
DSP-00060,SO-68838,WH-HCM01,2024-01-18,DELIVERED,CyberExpress,48
DSP-00061,SO-56129,WH-DN01,2024-01-18,DELIVERED,NinjaVan Hub,48
DSP-00062,SO-58331,WH-DN01,2024-01-18,DELIVERED,VNPost Logistics,24
DSP-00063,SO-76462,WH-HN01,2024-01-19,DELIVERED,VNPost Logistics,18
DSP-00064,SO-68947,WH-HCM01,2024-01-19,DELIVERED,CyberExpress,18
DSP-00065,SO-18109,WH-DN01,2024-01-19,DELIVERED,NinjaVan Hub,18
DSP-00066,SO-76132,WH-DN01,2024-01-19,DELIVERED,CyberExpress,24
DSP-00067,SO-78690,WH-HCM01,2024-01-19,DELIVERED,FastLogistics VN,24
DSP-00068,SO-54350,WH-DN01,2024-01-20,DELIVERED,FastLogistics VN,36
DSP-00069,SO-96057,WH-DN01,2024-01-20,DELIVERED,FastLogistics VN,48
DSP-00070,SO-55851,WH-HCM01,2024-01-20,DELIVERED,NinjaVan Hub,48
DSP-00071,SO-26750,WH-DN01,2024-01-20,DELIVERED,VNPost Logistics,48
DSP-00072,SO-12389,WH-DN01,2024-01-21,DELIVERED,CyberExpress,24
DSP-00073,SO-35166,WH-HN01,2024-01-21,DELIVERED,FastLogistics VN,12
DSP-00074,SO-59377,WH-HCM01,2024-01-21,DELIVERED,FastLogistics VN,48
DSP-00075,SO-31697,WH-HCM01,2024-01-21,DELIVERED,CyberExpress,18
DSP-00076,SO-41133,WH-DN01,2024-01-21,DELIVERED,VNPost Logistics,18
DSP-00077,SO-79993,WH-HCM01,2024-01-22,DELIVERED,NinjaVan Hub,48
DSP-00078,SO-98907,WH-DN01,2024-01-22,DELIVERED,CyberExpress,12
DSP-00079,SO-75916,WH-DN01,2024-01-22,DELIVERED,FastLogistics VN,36
DSP-00080,SO-77621,WH-DN01,2024-01-22,DELIVERED,NinjaVan Hub,12
DSP-00081,SO-77286,WH-HN01,2024-01-23,DELIVERED,NinjaVan Hub,36
DSP-00082,SO-40903,WH-DN01,2024-01-23,DELIVERED,VNPost Logistics,48
DSP-00083,SO-71487,WH-DN01,2024-01-23,DELIVERED,VNPost Logistics,12
DSP-00084,SO-38266,WH-HN01,2024-01-24,DELIVERED,CyberExpress,48
DSP-00085,SO-65476,WH-HCM01,2024-01-24,DELIVERED,VNPost Logistics,12
DSP-00086,SO-24530,WH-HCM01,2024-01-24,DELIVERED,NinjaVan Hub,36
DSP-00087,SO-85372,WH-HN01,2024-01-24,DELIVERED,NinjaVan Hub,36
DSP-00088,SO-97584,WH-DN01,2024-01-25,DELIVERED,CyberExpress,18
DSP-00089,SO-81313,WH-DN01,2024-01-25,DELIVERED,VNPost Logistics,18
DSP-00090,SO-60709,WH-DN01,2024-01-25,DELIVERED,NinjaVan Hub,36
DSP-00091,SO-55193,WH-HN01,2024-01-25,DELIVERED,VNPost Logistics,18
DSP-00092,SO-32949,WH-HCM01,2024-01-26,DELIVERED,NinjaVan Hub,12
DSP-00093,SO-45811,WH-HN01,2024-01-26,DELIVERED,NinjaVan Hub,24
DSP-00094,SO-52981,WH-DN01,2024-01-27,DELIVERED,VNPost Logistics,24
DSP-00095,SO-31842,WH-HCM01,2024-01-27,RETURNED,CyberExpress,18
DSP-00096,SO-90589,WH-HN01,2024-01-28,DELIVERED,VNPost Logistics,18
DSP-00097,SO-93560,WH-HN01,2024-01-28,DELIVERED,VNPost Logistics,48
DSP-00098,SO-14081,WH-HCM01,2024-01-28,DELIVERED,FastLogistics VN,12
DSP-00099,SO-60181,WH-HCM01,2024-01-28,DELIVERED,NinjaVan Hub,12
DSP-00100,SO-58760,WH-HCM01,2024-01-29,DELIVERED,FastLogistics VN,36
DSP-00101,SO-13396,WH-DN01,2024-01-29,DELIVERED,VNPost Logistics,24
